// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
18696	0.172339	0.187229	9.823069	0.008529	0.003092	-0.004709	-0.827901	-1.683080	-3.352404	1.259979	-0.999274	-3.740116
18700	0.176342	0.243618	9.964168	-0.003417	-0.000188	-0.001280	-0.822420	-1.680699	-3.356486	1.256925	-0.996785	-3.741842
18704	0.212034	0.214210	9.662557	0.013244	0.007938	-0.003711	-0.838689	-1.685253	-3.346534	1.265492	-0.993981	-3.742996
18708	0.184310	0.212568	9.771891	0.011331	-0.007264	-0.005503	-0.831983	-1.675431	-3.375890	1.271203	-0.997679	-3.746046
18712	0.164245	0.210679	9.894493	0.003903	0.000555	0.003425	-0.835732	-1.677491	-3.348561	1.272193	-0.998338	-3.742958
18716	0.151718	0.203105	9.815064	0.010837	-0.009072	-0.013060	-0.822595	-1.680618	-3.351887	1.277552	-1.001027	-3.751423
18720	0.210272	0.267807	9.582570	0.004983	0.016932	-0.007913	-0.827902	-1.680411	-3.350099	1.279625	-0.990418	-3.755755
18724	0.189717	0.164557	9.817580	-0.001624	0.011326	0.008193	-0.825206	-1.677865	-3.349838	1.277257	-0.982695	-3.751063
18728	0.163363	0.228986	9.862858	0.003991	0.011033	0.002229	-0.835468	-1.680281	-3.357763	1.277803	-0.977075	-3.748564
18732	0.181752	0.165963	9.790003	-0.007011	-0.001634	0.001237	-0.835991	-1.688046	-3.350882	1.274740	-0.979193	-3.747386
18736	0.188577	0.249504	9.744189	0.014592	-0.004107	-0.007830	-0.835294	-1.675024	-3.357752	1.280175	-0.982011	-3.750486
18740	0.135901	0.192443	9.864600	-0.004536	-0.002972	0.004766	-0.833035	-1.677615	-3.350605	1.276053	-0.984181	-3.746901
18744	0.150025	0.244443	9.917977	-0.001499	-0.007502	-0.013094	-0.840598	-1.682824	-3.362878	1.273638	-0.989737	-3.753051
18748	0.205206	0.247688	9.601657	-0.008721	0.010896	0.003293	-0.830600	-1.680287	-3.348056	1.268180	-0.983572	-3.750676
18752	0.175272	0.198722	9.759371	0.002295	-0.002229	0.001351	-0.835557	-1.677572	-3.353159	1.267828	-0.985718	-3.748750
18756	0.149184	0.186526	9.833381	0.000584	0.005609	0.009032	-0.830075	-1.675191	-3.357241	1.265449	-0.981977	-3.742922
18760	0.172874	0.222730	9.827165	-0.015360	-0.009087	0.012257	-0.822509	-1.677989	-3.351882	1.255379	-0.985171	-3.736758
18764	0.200400	0.268280	9.679136	0.002370	-0.004068	-0.000842	-0.827905	-1.675072	-3.345490	1.255652	-0.986927	-3.737056
18768	0.152070	0.143125	9.866515	0.000586	0.008781	0.005912	-0.832597	-1.675148	-3.359796	1.253238	-0.981725	-3.732719
18772	0.133972	0.255174	9.938933	0.001845	-0.004656	-0.001958	-0.835470	-1.674943	-3.353154	1.252364	-0.985125	-3.732643
18776	0.168875	0.188642	9.666176	0.009180	0.011408	-0.011819	-0.822772	-1.677868	-3.344985	1.257334	-0.976878	-3.739875
18780	0.164867	0.269701	9.660259	-0.006470	0.002053	-0.012556	-0.827990	-1.680370	-3.347800	1.253642	-0.975111	-3.747068
18784	0.175897	0.139546	9.863166	0.000628	-0.003363	-0.003161	-0.827816	-1.677782	-3.350094	1.253058	-0.976384	-3.748788
18788	0.154625	0.233322	9.883443	-0.001786	-0.006943	-0.001511	-0.830425	-1.677698	-3.350349	1.251051	-0.980271	-3.749268
18792	0.207334	0.250463	9.656803	-0.000707	-0.003254	-0.001483	-0.833210	-1.677534	-3.346006	1.250141	-0.982905	-3.749278
18796	0.164223	0.175731	9.834604	-0.001269	0.006590	-0.001012	-0.838167	-1.674819	-3.351110	1.247719	-0.980791	-3.747995
18800	0.145263	0.221282	9.862432	0.004056	-0.004022	-0.012324	-0.830595	-1.690963	-3.357274	1.251420	-0.982524	-3.755600
18804	0.132386	0.194392	9.765906	-0.008855	-0.001299	0.000024	-0.825294	-1.677825	-3.347539	1.245772	-0.982194	-3.755865
18808	0.202683	0.259333	9.608114	0.028660	-0.005546	0.006253	-0.837993	-1.672231	-3.353404	1.259343	-0.986857	-3.750427
18812	0.167073	0.131133	9.793951	-0.002704	-0.004036	-0.002247	-0.825641	-1.685670	-3.345256	1.259110	-0.988151	-3.752555
18816	0.141554	0.258037	9.890646	0.001427	-0.001422	-0.000550	-0.825555	-1.683042	-3.345251	1.260588	-0.987955	-3.753490
18820	0.189495	0.201924	9.699190	0.000018	-0.002850	0.003525	-0.835821	-1.674782	-3.343957	1.259466	-0.991017	-3.750063
18824	0.153928	0.247163	9.762414	0.004753	-0.002096	0.003811	-0.838605	-1.677286	-3.341919	1.261840	-0.994340	-3.746261
18828	0.170183	0.202133	9.884119	0.001394	-0.006409	0.004919	-0.835470	-1.674943	-3.353154	1.260450	-0.998690	-3.742294
18832	0.117316	0.228304	9.877622	-0.002704	0.000946	0.012419	-0.822510	-1.675320	-3.349578	1.257225	-0.996124	-3.735862
18836	0.189771	0.254314	9.556699	0.008536	-0.010448	0.000365	-0.838167	-1.674819	-3.351110	1.260205	-1.003350	-3.734201
18840	0.200733	0.187882	9.820091	-0.010933	-0.007896	0.005598	-0.837993	-1.672231	-3.353404	1.251264	-1.008915	-3.729475
18844	0.146255	0.258446	9.853746	0.011342	0.002149	0.009866	-0.827728	-1.677822	-3.352393	1.256396	-1.006453	-3.724086
18848	0.158097	0.158611	9.809430	0.005506	0.001562	-0.011176	-0.825206	-1.677865	-3.349838	1.258649	-1.003707	-3.731056
18852	0.164701	0.267143	9.711427	-0.000630	0.003805	0.000363	-0.820161	-1.680621	-3.347034	1.258250	-0.998893	-3.732291
18856	0.157338	0.188777	9.870811	-0.001598	0.006514	0.004543	-0.835559	-1.672234	-3.348550	1.255193	-0.996069	-3.728155
18860	0.122768	0.209618	9.811314	-0.002692	-0.002713	-0.006973	-0.823032	-1.685754	-3.345001	1.255172	-0.995737	-3.733604
18864	0.187911	0.221071	9.721085	0.020448	0.000378	-0.004193	-0.822509	-1.677989	-3.351882	1.265590	-0.993189	-3.736861
18868	0.194010	0.248908	9.746176	-0.005178	-0.000169	0.005778	-0.840863	-1.677364	-3.351371	1.261225	-0.995296	-3.731648
18872	0.163246	0.165470	9.774734	-0.009100	-0.004757	0.003094	-0.827638	-1.683201	-3.359301	1.255180	-0.996474	-3.730557
18876	0.155372	0.195907	9.904882	-0.006846	-0.011702	0.004978	-0.822945	-1.683125	-3.344995	1.252107	-1.001315	-3.729177
18880	0.195828	0.238237	9.683767	-0.000760	0.003390	-0.006039	-0.830514	-1.674989	-3.345746	1.250668	-0.999129	-3.732124
18884	0.185967	0.204474	9.818929	0.004276	0.002205	-0.001510	-0.838340	-1.680076	-3.351121	1.252592	-0.999175	-3.731730
18888	0.173883	0.245538	9.832537	0.005929	-0.006443	0.002693	-0.835644	-1.677531	-3.350860	1.254825	-1.003536	-3.729284
18892	0.169270	0.185728	9.862585	0.015164	0.006537	0.003827	-0.822944	-1.685794	-3.347300	1.264519	-0.997810	-3.728460
18896	0.177354	0.259514	9.553468	0.011366	0.005029	0.004717	-0.832948	-1.674986	-3.350599	1.269071	-0.995086	-3.724803
18900	0.206304	0.161877	9.815248	0.000982	-0.013246	-0.002473	-0.827465	-1.677944	-3.359290	1.267438	-1.000904	-3.726634
18904	0.160381	0.194574	9.868096	-0.001598	-0.003071	-0.013125	-0.828603	-1.682756	-3.334011	1.268446	-1.002502	-3.734516
18908	0.164333	0.150167	9.757564	0.001752	-0.003927	0.008381	-0.833297	-1.680163	-3.346012	1.269158	-1.005183	-3.729271
18912	0.176656	0.245183	9.777064	0.005029	0.007646	-0.001379	-0.837988	-1.682907	-3.362622	1.270531	-1.001293	-3.729017
18916	0.164485	0.190027	9.849733	-0.005814	0.001494	-0.003280	-0.832771	-1.677736	-3.357502	1.265197	-1.000028	-3.730293
18920	0.136506	0.230114	9.842069	0.008357	-0.002730	-0.016975	-0.841124	-1.682581	-3.349083	1.270106	-1.003417	-3.738523
18924	0.175841	0.223089	9.644911	0.003259	0.007402	-0.004295	-0.830425	-1.677698	-3.350349	1.270679	-0.998703	-3.740533
18928	0.193751	0.187364	9.771535	0.005197	0.004229	-0.007598	-0.822947	-1.680456	-3.342691	1.273865	-0.994565	-3.745686
18932	0.147576	0.167106	9.740799	-0.006675	-0.000826	-0.009643	-0.830513	-1.677658	-3.348050	1.269061	-0.994772	-3.750754
18936	0.160432	0.189771	9.927170	-0.004484	-0.009016	-0.000309	-0.827728	-1.677822	-3.352393	1.265017	-0.998848	-3.751081
18940	0.191375	0.261368	9.647594	0.011393	0.016642	-0.001151	-0.827902	-1.680411	-3.350099	1.270855	-0.988530	-3.751604
18944	0.168697	0.183240	9.828164	-0.005290	0.007881	-0.005264	-0.827378	-1.675315	-3.359285	1.265027	-0.982643	-3.754282
18948	0.153033	0.269951	9.883717	-0.001116	-0.009210	-0.004640	-0.830425	-1.677698	-3.350349	1.263196	-0.987712	-3.756543
18952	0.155547	0.144689	9.714438	-0.000538	-0.003746	0.000117	-0.825821	-1.677582	-3.333745	1.263541	-0.989575	-3.756649
