// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
06852	0.093244	0.226525	9.782422	0.005401	-0.006079	0.005061	-0.819032	-1.706707	-3.330739	1.297952	-0.556157	-3.512488
06856	0.088933	0.241197	9.778045	0.000729	0.006368	0.008801	-0.821117	-1.701528	-3.340180	1.297078	-0.552641	-3.506643
06860	0.100990	0.220711	9.772716	0.004966	0.003447	0.002592	-0.821556	-1.701326	-3.328684	1.299964	-0.551494	-3.504331
06864	0.093000	0.250933	9.785059	0.003796	0.002153	-0.002962	-0.824077	-1.703952	-3.333544	1.302208	-0.551336	-3.505118
06868	0.108124	0.230874	9.787084	0.003728	0.000491	0.004507	-0.811205	-1.704288	-3.327668	1.305118	-0.549524	-3.503221
06872	0.105261	0.226201	9.798489	0.005149	0.003220	0.012324	-0.821644	-1.701286	-3.326385	1.308219	-0.548757	-3.495307
06876	0.100893	0.227126	9.774094	0.001957	0.001979	-0.015007	-0.813985	-1.714800	-3.332544	1.312013	-0.546268	-3.505071
06880	0.109207	0.240994	9.789612	0.004803	-0.002402	-0.002305	-0.823906	-1.693357	-3.328923	1.312705	-0.548964	-3.504586
06884	0.106477	0.231034	9.798201	-0.002598	0.012684	-0.001503	-0.813464	-1.701698	-3.334816	1.310468	-0.540345	-3.505353
06888	0.095979	0.227567	9.800615	0.007033	0.002185	-0.003564	-0.821382	-1.698738	-3.330978	1.313469	-0.539827	-3.506212
06892	0.099092	0.240731	9.765532	-0.002082	0.008064	0.007334	-0.829298	-1.698447	-3.329445	1.311366	-0.538045	-3.499787
06896	0.091061	0.231011	9.768695	0.008466	-0.007206	0.008218	-0.824164	-1.703911	-3.331244	1.316308	-0.543572	-3.494171
06900	0.094172	0.230603	9.789994	0.011036	0.008528	0.006928	-0.816075	-1.698945	-3.332766	1.321300	-0.538099	-3.489626
06904	0.099253	0.222366	9.778925	0.006357	0.005345	0.003990	-0.813813	-1.706874	-3.330228	1.325753	-0.534063	-3.487687
06908	0.103971	0.233262	9.794026	-0.003305	-0.002373	-0.011106	-0.819032	-1.706707	-3.330739	1.324651	-0.535482	-3.493838
06912	0.097351	0.230947	9.771605	0.002199	0.002646	-0.006125	-0.819028	-1.714714	-3.337653	1.327681	-0.533736	-3.497678
06916	0.099130	0.239764	9.773637	0.007487	-0.002626	-0.005593	-0.818858	-1.704119	-3.333033	1.331702	-0.535230	-3.500430
06920	0.102572	0.246185	9.787733	0.002306	-0.003732	-0.001993	-0.821382	-1.698738	-3.330978	1.331702	-0.538083	-3.500427
06924	0.092448	0.241366	9.790997	0.001885	-0.005447	-0.001011	-0.815724	-1.699107	-3.341963	1.330238	-0.539920	-3.500603
06928	0.106759	0.237408	9.790861	-0.010356	0.000663	0.001104	-0.823989	-1.703992	-3.335843	1.323765	-0.540600	-3.498941
