// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
14650	0.266806	0.170027	9.772909	0.003063	0.003979	0.007975	-0.272751	-0.788695	-3.518357	0.948610	-1.743169	-3.347809
14654	0.275369	0.154718	9.767820	-0.002501	0.000876	0.003219	-0.270230	-0.786069	-3.513498	0.945994	-1.741648	-3.339790
14658	0.269797	0.142985	9.791954	-0.006844	-0.000915	-0.008903	-0.272836	-0.793993	-3.520667	0.942774	-1.741545	-3.343271
14662	0.281516	0.142574	9.814362	0.005090	0.005188	-0.002385	-0.270137	-0.796786	-3.525016	0.946682	-1.737194	-3.345195
14666	0.273921	0.162926	9.792082	0.009602	-0.002593	-0.000149	-0.277880	-0.793907	-3.525776	0.952153	-1.739501	-3.348464
14670	0.261820	0.154259	9.773716	0.005049	0.009464	-0.002216	-0.283104	-0.783063	-3.517069	0.952676	-1.736737	-3.349195
14674	0.258353	0.149263	9.796333	0.014022	0.003127	-0.008624	-0.277795	-0.785940	-3.521162	0.958877	-1.735940	-3.355152
14678	0.254262	0.161242	9.743927	0.019744	0.003794	-0.001554	-0.275186	-0.786023	-3.520906	0.968128	-1.734130	-3.356557
14682	0.261491	0.145999	9.756744	-0.012043	-0.007053	-0.009342	-0.272400	-0.788857	-3.527554	0.959776	-1.737447	-3.366088
14686	0.282818	0.136876	9.797714	-0.008817	-0.006764	-0.014039	-0.282928	-0.783144	-3.521667	0.952272	-1.743623	-3.376343
14690	0.271921	0.143627	9.813307	0.000037	0.007227	0.002685	-0.267354	-0.794281	-3.527054	0.952277	-1.737414	-3.376810
14694	0.264551	0.144720	9.791928	-0.006350	0.009409	-0.003666	-0.270228	-0.791407	-3.518107	0.948613	-1.731041	-3.375461
14698	0.281187	0.152462	9.804771	0.004874	0.001794	0.005642	-0.267091	-0.791733	-3.531647	0.950378	-1.727990	-3.377809
14702	0.272615	0.157706	9.787176	0.009549	-0.000916	0.006256	-0.272663	-0.788736	-3.520656	0.954646	-1.728306	-3.373438
