// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
48227	6146018	0.007630	-0.041115	9.786562	-0.010335	0.003431	-0.009437	0.016264	0.662837	-0.610337	0.004273	-0.047251	-1.678899
48228	6146118	0.005675	-0.052561	9.769167	-0.007346	-0.011753	-0.008171	0.022717	0.653612	-0.609968	-0.000688	-0.053895	-1.682871
48229	6146218	-0.003186	-0.032051	9.781363	-0.000814	-0.001607	0.001221	0.016139	0.658213	-0.612467	-0.001911	-0.054727	-1.681807
48230	6146318	0.000404	-0.044648	9.772146	0.003213	-0.003019	-0.007786	0.009028	0.661089	-0.604759	-0.000822	-0.056367	-1.685954
48231	6146418	0.012822	-0.049953	9.778479	0.007675	0.001941	-0.015138	0.020683	0.653356	-0.616294	0.002828	-0.055165	-1.693601
48232	6146518	0.002546	-0.042778	9.784976	0.007411	0.000071	0.006272	0.018173	0.658469	-0.606141	0.006314	-0.055035	-1.689571
48233	6146618	-0.004348	-0.046249	9.770065	0.007666	0.000776	0.001258	0.011452	0.656082	-0.612861	0.009948	-0.054501	-1.688616
48234	6146718	0.005729	-0.046807	9.775554	0.005070	0.000914	0.004712	0.008904	0.656466	-0.606889	0.012092	-0.053888	-1.685549
48235	6146818	0.009665	-0.043495	9.785488	-0.005691	0.000626	0.001128	0.020425	0.653676	-0.610145	0.008073	-0.053438	-1.683484
48236	6146918	0.006327	-0.043716	9.775756	-0.002323	-0.005104	-0.002250	0.015948	0.656061	-0.610458	0.005984	-0.056273	-1.684525
48237	6147018	0.007682	-0.046104	9.788520	0.008287	0.000084	-0.010415	0.022459	0.653932	-0.603819	0.009979	-0.056134	-1.689483
48238	6147118	-0.002960	-0.045567	9.786980	-0.001175	-0.002328	-0.017527	0.022717	0.653612	-0.609968	0.008555	-0.057376	-1.698956
48239	6147218	0.004027	-0.038471	9.770838	-0.008545	0.004367	-0.006005	0.016053	0.658320	-0.610418	0.002903	-0.054784	-1.702228
48240	6147318	0.002094	-0.041080	9.777936	-0.000067	-0.015439	-0.004535	0.013972	0.662900	-0.610514	0.002107	-0.063540	-1.704435
48241	6147418	0.001351	-0.054065	9.768282	0.006065	0.003099	-0.001316	0.022774	0.660707	-0.603698	0.004822	-0.061673	-1.704055
48242	6147518	-0.001743	-0.030204	9.779207	0.006555	-0.010049	-0.003417	0.022717	0.653612	-0.609968	0.007820	-0.067339	-1.705464
48243	6147618	-0.007572	-0.031020	9.773544	0.007237	-0.001208	0.001094	0.027213	0.653591	-0.607565	0.011206	-0.067938	-1.704083
48244	6147718	0.005747	-0.052093	9.777867	0.004199	0.000897	0.004775	0.023098	0.657915	-0.613986	0.012848	-0.067332	-1.700971
48245	6147818	-0.000840	-0.045315	9.782891	0.003056	-0.001200	-0.005629	0.018765	0.667290	-0.610079	0.013841	-0.067926	-1.703821
48246	6147918	-0.002326	-0.050526	9.776396	0.000412	0.009471	-0.007434	0.025218	0.658065	-0.609710	0.013320	-0.062404	-1.707321
48247	6148018	0.005052	-0.048662	9.788936	-0.007256	-0.003565	-0.005217	0.023012	0.658022	-0.611937	0.008402	-0.064352	-1.709842
48248	6148118	0.005687	-0.053364	9.786832	0.002650	-0.015102	-0.001840	0.029781	0.655573	-0.611447	0.009158	-0.072910	-1.710173
48249	6148218	0.009742	-0.049048	9.778155	0.006157	-0.001067	0.002361	0.025198	0.655700	-0.611800	0.011918	-0.073428	-1.708381
48250	6148318	0.008003	-0.053046	9.774748	0.008592	0.000141	0.000150	0.022669	0.658449	-0.603738	0.016074	-0.073253	-1.707810
48251	6148418	0.017134	-0.055282	9.786695	-0.007847	-0.007499	-0.010823	0.013677	0.658490	-0.608545	0.010818	-0.077455	-1.713645
48252	6148518	0.002353	-0.055144	9.777700	-0.004736	-0.002433	-0.012582	0.025198	0.655700	-0.611800	0.007345	-0.078754	-1.720049
48253	6148618	0.005843	-0.057606	9.792103	0.000058	-0.001229	0.005512	0.011853	0.662751	-0.614790	0.006603	-0.079365	-1.716632
48254	6148718	0.008075	-0.044533	9.785879	0.002725	-0.000390	0.001886	0.013762	0.658383	-0.610594	0.007391	-0.079494	-1.714972
48255	6148818	0.007793	-0.052111	9.782489	-0.006293	-0.002934	0.010540	0.023203	0.660174	-0.613946	0.003004	-0.081081	-1.708088
48256	6148918	-0.003359	-0.030491	9.772285	-0.003571	0.015490	-0.000632	0.027404	0.655743	-0.609574	0.000187	-0.072110	-1.707784
