// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
33006	3328705	0.040868	-0.002042	9.774591	0.005942	0.005913	0.008260	-0.546841	0.067053	-0.590609	0.016518	-0.468468	-79.672531
33007	3328805	0.045607	-0.015014	9.773831	0.000173	-0.016135	0.002380	-0.548884	0.076364	-0.586524	0.015942	-0.477009	-79.671715
33008	3328905	0.053386	-0.008269	9.772354	-0.004576	-0.008773	0.015649	-0.557876	0.076405	-0.591331	0.012582	-0.481333	-79.665030
33009	3329005	0.060637	-0.004664	9.772937	0.001498	0.007573	0.002797	-0.549066	0.064645	-0.594925	0.012763	-0.476290	-79.665176
33010	3329105	0.055719	-0.020926	9.775301	0.004030	0.007719	-0.012563	-0.543911	0.070973	-0.600599	0.014469	-0.471162	-79.671691
33011	3329205	0.040701	-0.003914	9.767938	0.001482	-0.001639	-0.000468	-0.549027	0.069375	-0.590745	0.014656	-0.471396	-79.674331
33012	3329305	0.043695	0.007601	9.787477	0.008706	-0.011178	-0.004561	-0.546736	0.069312	-0.590568	0.019003	-0.477096	-79.677317
33013	3329405	0.042206	-0.001652	9.781492	0.004896	-0.003760	0.011092	-0.553399	0.074019	-0.591018	0.021092	-0.478548	-79.670951
33014	3329505	0.043979	-0.011616	9.777866	-0.000435	-0.002373	-0.002293	-0.555795	0.071825	-0.591235	0.020191	-0.479204	-79.673048
33015	3329605	0.043120	-0.009120	9.764371	-0.006164	-0.010486	-0.007856	-0.549094	0.071847	-0.586605	0.016034	-0.484506	-79.677795
33016	3329705	0.037342	0.002495	9.776503	0.005420	-0.003808	0.005329	-0.557791	0.076298	-0.593381	0.018450	-0.485985	-79.674826
33017	3329805	0.049417	-0.004641	9.776785	0.002653	0.002646	0.002009	-0.543740	0.070760	-0.604699	0.019297	-0.483765	-79.674422
33018	3329905	0.046785	-0.012596	9.776525	-0.005720	0.004849	-0.000886	-0.556053	0.072145	-0.585086	0.015361	-0.480283	-79.675511
33019	3330005	0.048140	0.000209	9.777823	0.003575	0.007169	0.009312	-0.548817	0.073892	-0.590664	0.016701	-0.475473	-79.670230
33020	3330105	0.043147	0.000032	9.781585	0.003463	-0.003394	0.003585	-0.549047	0.067010	-0.592835	0.018005	-0.476714	-79.669364
33021	3330205	0.043323	0.004830	9.776413	-0.005538	-0.014979	-0.001840	-0.546841	0.067053	-0.590609	0.014178	-0.484593	-79.670800
33022	3330305	0.056598	-0.016432	9.778825	-0.012298	-0.007141	-0.000372	-0.548942	0.069269	-0.592795	0.006471	-0.487981	-79.671228
33023	3330405	0.044722	-0.008751	9.783188	0.003270	0.011117	-0.011673	-0.558258	0.072102	-0.587312	0.007738	-0.480907	-79.678223
33024	3330505	0.049442	-0.019121	9.778225	-0.004350	-0.008309	-0.002196	-0.553104	0.078429	-0.592987	0.004593	-0.484964	-79.678869
