// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
11023	9480247	-0.041216	0.005760	9.783410	0.005385	-0.007471	0.006725	0.561181	0.083896	-0.590717	0.287891	0.186946	77.377827
11024	9480347	-0.045993	0.014870	9.776826	0.008624	-0.004555	-0.014921	0.559786	0.087623	-0.607211	0.291328	0.184786	77.369250
11025	9480447	-0.044633	0.004152	9.769995	0.000836	-0.005380	-0.003567	0.557658	0.097040	-0.601077	0.290323	0.182118	77.365142
11026	9480547	-0.043107	0.001723	9.786093	-0.010024	-0.003090	0.000744	0.557791	0.092096	-0.609356	0.283106	0.180756	77.367274
11027	9480647	-0.058873	0.016927	9.784727	-0.000874	-0.016981	-0.005676	0.559549	0.090308	-0.598972	0.281121	0.171454	77.365558
11028	9480747	-0.053519	0.007380	9.774605	0.000674	-0.012542	-0.000118	0.557277	0.092736	-0.597058	0.280032	0.164678	77.365082
11029	9480847	-0.045945	0.010455	9.775433	-0.000188	-0.000831	-0.007551	0.557515	0.090051	-0.605297	0.278439	0.164636	77.362165
11030	9480947	-0.052520	0.014742	9.767239	-0.003329	0.009292	0.005211	0.555367	0.097104	-0.601254	0.275068	0.170353	77.362874
11031	9481047	-0.057519	0.011740	9.769111	0.000763	0.008998	-0.000762	0.546098	0.095100	-0.602001	0.274033	0.175924	77.362472
11032	9481147	-0.047936	0.023584	9.774981	0.002435	-0.004961	-0.010282	0.555052	0.090328	-0.601375	0.273943	0.173530	77.361026
11033	9481247	-0.045553	0.001540	9.776107	0.007177	0.001955	-0.004628	0.557725	0.094568	-0.605217	0.276578	0.175076	77.357724
11034	9481347	-0.053060	0.006793	9.769933	-0.000851	0.005145	0.002132	0.550088	0.086152	-0.597710	0.274628	0.178441	77.364001
11035	9481447	-0.042226	0.011786	9.764047	0.004521	0.002418	0.001536	0.557362	0.092630	-0.599108	0.275754	0.180235	77.363762
11036	9481547	-0.039941	0.013309	9.782956	-0.012028	0.002893	0.006356	0.564236	0.092439	-0.598578	0.267408	0.182290	77.368289
11037	9481647	-0.043479	-0.001575	9.780283	-0.003834	-0.002224	0.001269	0.559634	0.090201	-0.601021	0.263748	0.181430	77.370261
11038	9481747	-0.053024	0.012586	9.763454	-0.001583	-0.003169	-0.012393	0.557639	0.094675	-0.603167	0.261353	0.180059	77.361646
11039	9481847	-0.052104	-0.003987	9.766211	0.007782	0.007666	0.004933	0.557401	0.097360	-0.594928	0.264354	0.184852	77.363126
11040	9481947	-0.046440	0.011133	9.771152	0.005081	-0.010204	-0.018921	0.555138	0.090222	-0.603425	0.265769	0.179478	77.356025
11041	9482047	-0.049926	-0.001949	9.773222	0.002980	-0.019090	0.002338	0.555434	0.094632	-0.605393	0.266016	0.168950	77.356252
