// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
31000	11725813	-0.000981	0.057635	9.764791	0.000456	0.002830	0.001263	0.062495	-0.623506	-0.637449	0.551793	0.143903	163.287092
31001	11725913	0.009777	0.048991	9.794441	0.004649	-0.008186	-0.009692	0.065016	-0.616688	-0.635101	0.553330	0.139308	163.281881
31002	11726013	-0.002518	0.043222	9.780194	-0.006060	0.004242	-0.006017	0.055689	-0.625787	-0.642119	0.548729	0.141817	163.287250
31003	11726113	-0.001627	0.057648	9.774810	-0.000514	-0.003209	0.000160	0.069053	-0.630472	-0.637040	0.547323	0.140020	163.286216
31004	11726213	0.001358	0.049887	9.786413	-0.007115	0.006364	-0.003828	0.071745	-0.623867	-0.638791	0.542128	0.143729	163.285069
31005	11726313	0.012495	0.059126	9.775829	0.002034	-0.004337	0.007488	0.066887	-0.625785	-0.635086	0.542185	0.141247	163.295375
31006	11726413	-0.000665	0.051183	9.779871	0.003046	-0.001972	-0.003382	0.069369	-0.623697	-0.636918	0.542810	0.140177	163.295099
31007	11726513	0.001790	0.048310	9.782855	0.002797	0.000907	-0.004248	0.060395	-0.621290	-0.639635	0.543286	0.140763	163.300858
31008	11726613	0.002783	0.055581	9.776570	-0.007747	0.000676	-0.011431	0.060251	-0.628279	-0.643855	0.537712	0.141255	163.299047
31009	11726713	0.005356	0.055276	9.784899	-0.001557	-0.010726	0.000715	0.069101	-0.635309	-0.643269	0.535706	0.135145	163.299380
31010	11726813	0.011096	0.048265	9.766163	-0.002445	-0.000132	-0.001432	0.072127	-0.619564	-0.642810	0.533190	0.135116	163.297236
