// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
30868	11712613	-0.001530	0.056204	9.765872	-0.010007	0.012500	0.003436	0.067210	-0.628577	-0.645375	0.557639	0.147915	162.943662
30869	11712713	0.006730	0.057836	9.781155	0.001831	-0.003035	-0.012431	0.062838	-0.623932	-0.645647	0.557578	0.146345	162.941107
30870	11712813	0.013689	0.041796	9.783842	0.002196	-0.002951	-0.003650	0.069120	-0.632944	-0.641179	0.557740	0.144772	162.940799
30871	11712913	0.022961	0.047817	9.769834	0.006847	-0.000722	0.000940	0.062772	-0.621461	-0.641508	0.560571	0.144450	162.946417
30872	11713013	0.000040	0.056615	9.769090	-0.002759	-0.002048	-0.001292	0.071430	-0.630642	-0.638912	0.557898	0.143380	162.946145
30873	11713113	-0.004071	0.063549	9.771809	0.002496	0.007594	0.005319	0.060395	-0.621290	-0.639635	0.558239	0.147798	162.957853
30874	11713213	-0.008741	0.059769	9.785017	-0.002229	0.006053	-0.000670	0.069302	-0.621225	-0.632779	0.555871	0.151365	162.956728
30875	11713313	0.005504	0.044297	9.783557	0.005133	-0.003677	0.006650	0.057980	-0.625850	-0.641942	0.557724	0.149317	162.969288
30876	11713413	0.002676	0.072631	9.795967	0.002345	0.006984	-0.010027	0.062495	-0.623506	-0.637449	0.557960	0.153469	162.965145
30877	11713513	0.008429	0.055778	9.774111	0.008297	0.008454	-0.000401	0.062753	-0.623826	-0.643598	0.561620	0.158409	162.968113
30878	11713613	-0.007937	0.044439	9.776210	-0.005264	-0.012874	-0.012908	0.064634	-0.620991	-0.631083	0.557490	0.151199	162.963039
30879	11713713	-0.000373	0.063231	9.780836	0.003243	-0.003508	-0.007061	0.065005	-0.628620	-0.647601	0.558243	0.149322	162.962636
30880	11713813	0.008503	0.060906	9.782890	-0.004391	0.006025	-0.000106	0.073511	-0.635223	-0.638816	0.554634	0.152867	162.963639
30881	11713913	0.005569	0.055091	9.778452	0.000894	0.001640	-0.011789	0.064338	-0.625401	-0.629114	0.554031	0.153965	162.963488
30882	11714013	-0.002783	0.062067	9.779793	-0.005398	-0.000456	0.005171	0.066467	-0.634818	-0.635248	0.549851	0.153767	162.970151
30883	11714113	0.010902	0.053607	9.783173	0.003118	-0.005264	-0.005451	0.062753	-0.623826	-0.643598	0.550534	0.150872	162.970595
30884	11714213	0.003410	0.067267	9.769781	-0.001573	-0.003683	-0.010834	0.067249	-0.623846	-0.641195	0.548523	0.148911	162.965848
30885	11714313	0.011940	0.053692	9.775769	0.004535	-0.007707	-0.004551	0.067078	-0.623633	-0.637095	0.550019	0.144610	162.966411
30886	11714413	-0.004632	0.058815	9.784268	0.002292	-0.010093	-0.005798	0.064681	-0.625828	-0.637312	0.550227	0.138949	162.967591
30887	11714513	0.002195	0.050790	9.776139	0.004262	0.009449	0.000506	0.064872	-0.623676	-0.639322	0.551574	0.144449	162.970969
30888	11714613	-0.000055	0.069360	9.771581	-0.002854	0.013489	0.007312	0.065063	-0.621524	-0.641331	0.548855	0.152226	162.978209
30889	11714713	-0.001938	0.064113	9.777033	0.006998	0.001083	-0.005999	0.071726	-0.626232	-0.640881	0.551761	0.152967	162.975884
30890	11714813	0.007793	0.055139	9.789859	0.002939	0.008889	-0.005469	0.076223	-0.626253	-0.638478	0.552343	0.158178	162.973734
30891	11714913	-0.001928	0.060659	9.784100	-0.001721	-0.007668	-0.007266	0.069264	-0.625955	-0.636959	0.550246	0.153913	162.977246
